year,state,n,percent
2019,RI,40648,0.0481600372920391
2020,RI,14213,0.0168396627148138
2020,CO,147072,0.174251943628586
2022,NJ,177428,0.210217946680081
2017,OH,849,0.00100590119220973
2020,NE,60789,0.0720232362464516
2023,ID,71076,0.0842113464517066
2024,ID,22351,0.0264816225525085
2022,NV,154391,0.18292354648581
2024,AZ,145104,0.171920243338517
2020,WI,114389,0.135528894553214
2024,NH,15135,0.0179320548222548
2017,KS,525,0.000622023705430047
2020,UT,96465,0.114292412846304
2021,UT,121293,0.143708802481384
2019,DC,10220,0.0121087281323716
2020,DC,4476,0.00530319639143788
2021,DC,5707,0.0067616938797891
2018,NV,91104,0.107940662208569
2024,WI,55970,0.0663136510341328
2020,KY,172305,0.204148180122141
2019,UT,239967,0.284314595277966
2022,UT,137022,0.162344632696068
2021,NJ,157682,0.186822746513563
2022,WY,25567,0.0302919620509143
2023,WY,26716,0.0316533053605126
2019,WY,38046,0.045077169327222
2020,WY,17736,0.0210137379800139
2021,WY,22708,0.0269045986722009
2024,MO,112325,0.133083452785581
2023,UT,160761,0.190470767445028
2024,UT,51053,0.0604879547301337
2017,MS,479,0.000567522580763795
2018,MS,68043,0.0806178266449079
2024,CT,26747,0.0316900343793094
2023,IA,143920,0.17051743178189
2020,Irvine,4033,0.00477832686476072
2021,Irvine,3381,0.0040058326629695
2024,KS,57055,0.0675991666920215
2024,WA,53528,0.0634203521985896
2017,PA,807,0.000956139295775329
2018,PA,105904,0.125475806666407
2023,DC,9537,0.0112995049117835
2024,DC,2666,0.00315869561652668
2022,ME,37198,0.0440724529420702
2020,MI,118758,0.14070531658945
2021,MI,143130,0.1695814342061
2019,MI,318079,0.376862244189493
2021,MD,102487,0.121427320949351
2022,MD,122538,0.145183887268547
2021,MN,134345,0.159172904201904
2023,MN,177760,0.210611302623324
2024,MN,51527,0.0610495532756076
2020,MD,87131,0.103233423767286
2017,NJ,899,0.00106514154510783
2021,NE,72178,0.0855170038295808
2024,ND,6311,0.00747731734279814
